,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"8,19,80,200","7,93,39,000","6,68,57,000","6,43,42,000"
Cost of revenue,"3,40,72,200","3,07,58,000","2,52,75,000","2,78,25,000"
Gross profit,"4,79,08,000","4,85,81,000","4,15,82,000","3,65,17,000"
Selling general and administrative,"1,06,07,200","1,05,55,000","98,88,000","76,58,000"
Total operating expenses,"2,51,17,400","2,48,69,000","2,25,03,000","1,77,43,000"
Operating income or loss,"2,27,90,600","2,37,12,000","1,90,79,000","1,87,74,000"
Interest expense,"5,61,600","1,39,000","1,01,000","73,000"
Income before tax,"2,20,12,200","2,43,45,000","2,31,85,000","2,90,08,000"
Income tax expense,"61,83,100","86,73,000","84,09,000","68,04,000"
Income from continuing operations,"1,58,29,100","1,56,72,000","1,47,76,000","2,22,04,000"
Net income,"1,58,49,000","1,56,71,000","1,47,91,000","2,22,17,000"
Net income available to common shareholders,"1,58,49,000","1,56,71,000","1,47,91,000","2,22,17,000"
Basic EPS,-,16.32,15.40,23.13
Diluted EPS,-,16.32,15.40,23.13
Basic average shares,-,"9,60,464","9,60,451","9,60,449"
Diluted average shares,-,"9,60,495","9,60,477","9,60,453"
EBITDA,-,"2,68,31,000","2,51,07,000","3,02,33,000"
